WaypointType,Waypoint.x,Waypoint.y,Waypoint.angle,WaitTime,ArmPosition,IntakeState,ClawOpen,ArmOffsetTime,TimedClawRelease
0,19.5,160,0,0,0,0,0,1500,0
0,133,211,0,0,1,0,0,0,0
0,133,211,0,0,1,0,1,500,0
0,60,167,0,0,0,0,1,0,0
0,60,167,0,0,0,3,0,0,0
0,90,167,0,0,0,3,0,0,0
0,90,167,0,0,0,1,0,0,0
0,60,167,0,0,0,1,0,0,0
0,60,167,0,0,0,0,0,1500,0
0,148,217,0,0,1,0,0,0,0
0,133,210,0,0,1,0,1,4000,0
1,80,254,270,0,0,0,1,0,0
1,130,294,180,0,0,0,1,0,0
0,230,294,180,0,0,0,1,0,0
3,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0
