WaypointType,Waypoint.x,Waypoint.y,Waypoint.angle,WaitTime,ArmPosition,IntakeState,ClawOpen,ArmOffsetTime,TimedClawRelease
0,19.5,160,0,0,0,0,0,1500,0
0,127,211,0,0,1,0,0,0,0
0,127,211,0,0,1,0,1,2000,0
1,100,240,270,0,0,0,1,0,0
1,133,270,180,0,0,0,1,0,0
1,220,280,180,0,0,0,1,0,0
0,270,255,190,0,0,0,1,0,0
0,270,255,180,0,0,3,0,0,0
0,240,255,180,0,0,3,0,0,0
0,240,255,180,0,0,1,0,0,0
0,270,255,180,0,0,1,0,0,0
0,270,255,180,0,0,0,1,1500,300
0,230,243,200,0,1,0,1,0,0
3,0,0,0,500,1,0,1,0,0
5,0,0,0,0,0,0,0,0,0
