WaypointType,Waypoint.x,Waypoint.y,Waypoint.angle,WaitTime,ArmPosition,IntakeState,ClawOpen,ArmOffsetTime,TimedClawRelease
0,19.5,276,180,0,0,0,1,0,-100
1,170,288,180,0,5,0,1,0,0
0,270,248,160,0,5,0,1,0,0
0,270,248,160,0,5,3,1,0,0
0,213,236,200,0,0,3,1,0,0
0,213,236,200,0,0,1,0,0,0
0,250,294,270,0,0,1,0,0,0
3,250,294,270,0,2,0,0,0,0
0,250,294,270,0,2,0,1,1000,1
0,280,264,325,0,3,0,1,0,0
0,280,264,325,0,3,0,1,0,0
0,250,294,270,0,0,0,1,0,0
0,250,294,270,0,0,0,1,0,0
0,220,214,290,0,0,0,1,0,0
3,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0
