WaypointType,Waypoint.x,Waypoint.y,Waypoint.angle,WaitTime,ArmPosition,IntakeState,ClawOpen,ArmOffsetTime,TimedClawRelease
0,19.5,276,180,0,0,0,1,0,-150
1,180,276,180,0,5,0,1,0,0
0,277,248,180,0,5,0,1,0,0
0,277,248,180,0,5,3,1,0,0
0,220,248,180,0,0,3,1,0,0
0,220,248,180,0,0,1,0,0,0
0,276,248,155,0,0,1,0,0,0
3,276,248,155,0,5,0,1,0,-250
0,276,248,155,0,5,3,1,0,0
0,210,218,200,0,0,3,1,0,0
3,0,0,0,500,0,1,0,0,0
0,220,248,180,0,0,1,0,0,0
0,276,248,180,0,0,1,0,0,0
3,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0
