WaypointType,Waypoint.x,Waypoint.y,Waypoint.angle,WaitTime,ArmPosition,IntakeState,ClawOpen,ArmOffsetTime,TimedClawRelease
0,19.5,48,180,0,0,0,1,0,-150
1,180,48,180,0,5,0,1,0,0
0,277,76,180,0,5,0,1,0,0
0,277,76,180,0,5,3,1,0,0
0,220,76,180,0,0,3,1,0,0
0,220,76,180,0,0,1,0,0,0
0,276,76,205,0,0,1,0,0,0
3,276,76,205,0,5,0,1,0,-250
0,276,76,205,0,5,3,1,0,0
0,210,106,160,0,0,3,1,0,0
3,0,0,0,500,0,1,0,0,0
0,220,76,180,0,0,1,0,0,0
0,276,76,180,0,0,1,0,0,0
3,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0
