WaypointType,Waypoint.x,Waypoint.y,Waypoint.angle,WaitTime,ArmPosition,IntakeState,ClawOpen,ArmOffsetTime,TimedClawRelease
0,19.5,160,0,0,0,0,0,1500,0
0,127,114,0,0,1,0,0,0,0
0,127,114,0,0,1,0,1,2000,0
1,100,84,90,0,0,0,1,0,0
1,146,30,180,0,0,0,1,0,0
1,240,100,270,0,0,0,1,0,0
1,240,140,270,0,0,0,1,0,0
0,246,146,220,0,0,0,1,0,0
0,232,106,180,0,0,3,0,0,0
0,212,106,180,0,0,3,0,0,0
0,212,106,180,0,0,1,0,0,0
0,232,106,180,0,0,1,0,0,0
0,232,106,180,0,0,0,1,1500,300
0,212,106,180,0,1,0,1,0,0
3,0,0,0,500,1,0,1,0,0
5,0,0,0,0,0,0,0,0,0
